timestamp,room,motion,light,temperature
2024-01-01 00:00:00,1,0.0,0.0,22.767951668049626
2024-01-01 00:10:00,1,0.0,0.0,22.377546835965607
2024-01-01 00:20:00,1,0.0,0.0,22.74600264005311
2024-01-01 00:30:00,1,0.0,0.0,19.243308894341745
2024-01-01 00:40:00,1,0.0,0.0,24.552817686407117
2024-01-01 00:50:00,1,0.0,0.0,20.083561680981795
2024-01-01 01:00:00,1,0.0,0.0,18.740366577348667
2024-01-01 01:10:00,1,0.0,0.0,20.43341577960919
2024-01-01 01:20:00,1,0.0,0.0,22.81263282666015
2024-01-01 01:30:00,1,0.0,0.0,21.353107038826682
2024-01-01 01:40:00,1,0.0,0.0,21.62919750836907
2024-01-01 01:50:00,1,0.0,0.0,21.388192431652126
2024-01-01 02:00:00,1,0.0,0.0,23.782725320468543
2024-01-01 02:10:00,1,0.0,0.0,23.166700058652896
2024-01-01 02:20:00,1,0.0,0.0,20.287546267651525
2024-01-01 02:30:00,1,0.0,0.0,22.942060824810046
2024-01-01 02:40:00,1,0.0,0.0,21.03686272060141
2024-01-01 02:50:00,1,0.0,0.0,21.162985118476072
2024-01-01 03:00:00,1,0.0,0.0,22.123144229655185
2024-01-01 03:10:00,1,0.0,0.0,18.959811202878022
2024-01-01 03:20:00,1,0.0,0.0,22.558269622752768
2024-01-01 03:30:00,1,0.0,0.0,18.640413369534258
2024-01-01 03:40:00,1,0.0,0.0,18.833483925588716
2024-01-01 03:50:00,1,0.0,0.0,23.61232471298431
2024-01-01 04:00:00,1,0.0,0.0,23.995817166887093
2024-01-01 04:10:00,1,0.0,0.0,19.53277814318065
2024-01-01 04:20:00,1,0.0,0.0,19.682694028465924
2024-01-01 04:30:00,1,0.0,0.0,24.92207129705147
2024-01-01 04:40:00,1,0.0,0.0,18.178584264929544
2024-01-01 04:50:00,1,0.0,0.0,24.031836378488446
2024-01-01 05:00:00,1,0.0,0.0,19.57794621051141
2024-01-01 05:10:00,1,0.0,0.0,24.39002190809453
2024-01-01 05:20:00,1,0.0,0.0,19.475060305866172
2024-01-01 05:30:00,1,0.0,0.0,24.254676485591204
2024-01-01 05:40:00,1,0.0,0.0,24.895395099702892
2024-01-01 05:50:00,1,0.0,0.0,18.831206703026773
2024-01-01 06:00:00,1,0.0,0.0,22.68642978364907
2024-01-01 06:10:00,1,0.0,0.0,21.886130263382444
2024-01-01 06:20:00,1,0.0,0.0,24.033620485379206
2024-01-01 06:30:00,1,0.0,0.0,24.027488100523193
2024-01-01 06:40:00,1,0.0,0.0,23.120674657550435
2024-01-01 06:50:00,1,0.0,0.0,22.301384072383883
2024-01-01 07:00:00,1,0.0,0.0,21.34469931517406
2024-01-01 07:10:00,1,0.0,0.0,24.602540657627962
2024-01-01 07:20:00,1,0.0,0.0,18.62905896999023
2024-01-01 07:30:00,1,0.0,0.0,22.44213483764698
2024-01-01 07:40:00,1,0.0,0.0,19.578653230215725
2024-01-01 07:50:00,1,0.0,0.0,23.818403143470896
2024-01-01 08:00:00,1,0.0,0.0,23.84244314711178
2024-01-01 08:10:00,1,0.0,0.0,23.070262328674904
2024-01-01 08:20:00,1,0.0,0.0,21.59811293878328
2024-01-01 08:30:00,1,0.0,0.0,24.347758249562364
2024-01-01 08:40:00,1,0.0,0.0,23.190364882973302
2024-01-01 08:50:00,1,0.0,0.0,18.53600097549085
2024-01-01 09:00:00,1,0.0,1.0,21.061630111752024
2024-01-01 09:10:00,1,0.0,0.0,20.394130454201523
2024-01-01 09:20:00,1,1.0,1.0,21.70128195414878
2024-01-01 09:30:00,1,0.0,0.0,19.39971231000338
2024-01-01 09:40:00,1,1.0,1.0,22.4481878093032
2024-01-01 09:50:00,1,0.0,1.0,22.968137451724843
2024-01-01 10:00:00,1,0.0,1.0,19.00378425326342
2024-01-01 10:10:00,1,0.0,0.0,18.27863947644784
2024-01-01 10:20:00,1,0.0,1.0,20.639834653969586
2024-01-01 10:30:00,1,1.0,1.0,23.47788311071084
2024-01-01 10:40:00,1,1.0,1.0,20.073673666405956
2024-01-01 10:50:00,1,1.0,1.0,23.014743490511506
2024-01-01 11:00:00,1,0.0,1.0,19.71212978060089
2024-01-01 11:10:00,1,0.0,0.0,20.311875757932334
2024-01-01 11:20:00,1,0.0,1.0,19.31177797882334
2024-01-01 11:30:00,1,0.0,1.0,21.208313262925753
2024-01-01 11:40:00,1,1.0,1.0,18.91325823027149
2024-01-01 11:50:00,1,1.0,1.0,21.48874669617161
2024-01-01 12:00:00,1,1.0,1.0,23.234672277085394
